start,stop,ligne
LADEFENSE,ESPLANADEDELADEFENSE,1
ESPLANADEDELADEFENSE,PONTDENEUILLY,1
PONTDENEUILLY,LESSABLONS,1
LESSABLONS,PORTEMAILLOT,1
PORTEMAILLOT,ARGENTINE,1
ARGENTINE,CHARLESDEGAULLEETOILE,1
CHARLESDEGAULLEETOILE,GEORGEV,1
GEORGEV,FRANKLINDROOSEVELT,1
FRANKLINDROOSEVELT,CHAMPSELYSEESCLEMENCEAU,1
CHAMPSELYSEESCLEMENCEAU,CONCORDE,1
CONCORDE,TUILERIES,1
TUILERIES,PALAISROYALMUSEEDULOUVRE,1
PALAISROYALMUSEEDULOUVRE,LOUVRERIVOLI,1
LOUVRERIVOLI,CHATELET,1
CHATELET,HOTELDEVILLE,1
HOTELDEVILLE,STPAUL,1
STPAUL,BASTILLE,1
BASTILLE,GAREDELYON,1
GAREDELYON,REUILLYDIDEROT,1
REUILLYDIDEROT,NATION,1
NATION,PORTEDEVINCENNES,1
PORTEDEVINCENNES,STMANDE,1
STMANDE,BERAULT,1
BERAULT,CHATEAUDEVINCENNES,1
ESPLANADEDELADEFENSE,LADEFENSE,1
PONTDENEUILLY,ESPLANADEDELADEFENSE,1
LESSABLONS,PONTDENEUILLY,1
PORTEMAILLOT,LESSABLONS,1
ARGENTINE,PORTEMAILLOT,1
CHARLESDEGAULLEETOILE,ARGENTINE,1
GEORGEV,CHARLESDEGAULLEETOILE,1
FRANKLINDROOSEVELT,GEORGEV,1
CHAMPSELYSEESCLEMENCEAU,FRANKLINDROOSEVELT,1
CONCORDE,CHAMPSELYSEESCLEMENCEAU,1
TUILERIES,CONCORDE,1
PALAISROYALMUSEEDULOUVRE,TUILERIES,1
LOUVRERIVOLI,PALAISROYALMUSEEDULOUVRE,1
CHATELET,LOUVRERIVOLI,1
HOTELDEVILLE,CHATELET,1
STPAUL,HOTELDEVILLE,1
BASTILLE,STPAUL,1
GAREDELYON,BASTILLE,1
REUILLYDIDEROT,GAREDELYON,1
NATION,REUILLYDIDEROT,1
PORTEDEVINCENNES,NATION,1
STMANDE,PORTEDEVINCENNES,1
BERAULT,STMANDE,1
CHATEAUDEVINCENNES,BERAULT,1
PORTEDAUPHINE,VICTORHUGO,2
VICTORHUGO,CHARLESDEGAULLEETOILE,2
CHARLESDEGAULLEETOILE,TERNES,2
TERNES,COURCELLES,2
COURCELLES,MONCEAU,2
MONCEAU,VILLIERS,2
VILLIERS,ROME,2
ROME,PLACEDECLICHY,2
PLACEDECLICHY,BLANCHE,2
BLANCHE,PIGALLE,2
PIGALLE,ANVERS,2
ANVERS,BARBESROCHECHOUART,2
BARBESROCHECHOUART,LACHAPELLE,2
LACHAPELLE,STALINGRAD,2
STALINGRAD,JAURES,2
JAURES,COLONELFABIEN,2
COLONELFABIEN,BELLEVILLE,2
BELLEVILLE,COURONNES,2
COURONNES,MENILMONTANT,2
MENILMONTANT,PERELACHAISE,2
PERELACHAISE,PHILIPPEAUGUSTE,2
PHILIPPEAUGUSTE,ALEXANDREDUMAS,2
ALEXANDREDUMAS,AVRON,2
AVRON,NATION,2
VICTORHUGO,PORTEDAUPHINE,2
CHARLESDEGAULLEETOILE,VICTORHUGO,2
TERNES,CHARLESDEGAULLEETOILE,2
COURCELLES,TERNES,2
MONCEAU,COURCELLES,2
VILLIERS,MONCEAU,2
ROME,VILLIERS,2
PLACEDECLICHY,ROME,2
BLANCHE,PLACEDECLICHY,2
PIGALLE,BLANCHE,2
ANVERS,PIGALLE,2
BARBESROCHECHOUART,ANVERS,2
LACHAPELLE,BARBESROCHECHOUART,2
STALINGRAD,LACHAPELLE,2
JAURES,STALINGRAD,2
COLONELFABIEN,JAURES,2
BELLEVILLE,COLONELFABIEN,2
COURONNES,BELLEVILLE,2
MENILMONTANT,COURONNES,2
PERELACHAISE,MENILMONTANT,2
PHILIPPEAUGUSTE,PERELACHAISE,2
ALEXANDREDUMAS,PHILIPPEAUGUSTE,2
AVRON,ALEXANDREDUMAS,2
NATION,AVRON,2
PONTDELEVALLOISBECON,ANATOLEFRANCE,3
ANATOLEFRANCE,LOUISEMICHEL,3
LOUISEMICHEL,PORTEDECHAMPERRET,3
PORTEDECHAMPERRET,PEREIRE,3
PEREIRE,WAGRAM,3
WAGRAM,MALESHERBES,3
MALESHERBES,VILLIERS,3
VILLIERS,EUROPE,3
EUROPE,STLAZARE,3
STLAZARE,HAVRECAUMARTIN,3
HAVRECAUMARTIN,OPERA,3
OPERA,QUATRESEPTEMBRE,3
QUATRESEPTEMBRE,BOURSE,3
BOURSE,SENTIER,3
SENTIER,REAUMURSEBASTOPOL,3
REAUMURSEBASTOPOL,ARTSETMETIERS,3
ARTSETMETIERS,TEMPLE,3
TEMPLE,REPUBLIQUE,3
REPUBLIQUE,PARMENTIER,3
PARMENTIER,RUESTMAUR,3
RUESTMAUR,PERELACHAISE,3
PERELACHAISE,GAMBETTA,3
GAMBETTA,PORTEDEBAGNOLET,3
PORTEDEBAGNOLET,GALLIENI,3
ANATOLEFRANCE,PONTDELEVALLOISBECON,3
LOUISEMICHEL,ANATOLEFRANCE,3
PORTEDECHAMPERRET,LOUISEMICHEL,3
PEREIRE,PORTEDECHAMPERRET,3
WAGRAM,PEREIRE,3
MALESHERBES,WAGRAM,3
VILLIERS,MALESHERBES,3
EUROPE,VILLIERS,3
STLAZARE,EUROPE,3
HAVRECAUMARTIN,STLAZARE,3
OPERA,HAVRECAUMARTIN,3
QUATRESEPTEMBRE,OPERA,3
BOURSE,QUATRESEPTEMBRE,3
SENTIER,BOURSE,3
REAUMURSEBASTOPOL,SENTIER,3
ARTSETMETIERS,REAUMURSEBASTOPOL,3
TEMPLE,ARTSETMETIERS,3
REPUBLIQUE,TEMPLE,3
PARMENTIER,REPUBLIQUE,3
RUESTMAUR,PARMENTIER,3
PERELACHAISE,RUESTMAUR,3
GAMBETTA,PERELACHAISE,3
PORTEDEBAGNOLET,GAMBETTA,3
GALLIENI,PORTEDEBAGNOLET,3
PORTEDECLIGNANCOURT,SIMPLON,4
SIMPLON,MARCADETPOISSONNIERS,4
MARCADETPOISSONNIERS,CHATEAUROUGE,4
CHATEAUROUGE,BARBESROCHECHOUART,4
BARBESROCHECHOUART,GAREDUNORD,4
GAREDUNORD,GAREDELEST,4
GAREDELEST,CHATEAUDEAU,4
CHATEAUDEAU,STRASBOURGSTDENIS,4
STRASBOURGSTDENIS,REAUMURSEBASTOPOL,4
